blkVAP,blkMaleVAP,blkFemaleVAP,State,statefips
944523,426467,518056,Alabama,01
18860,11487,7373,Alaska,02
203875,107734,96141,Arizona,04
328365,152065,176300,Arkansas,05
1741943,852776,889167,California,06
158011,85660,72351,Colorado,08
274442,128020,146422,Connecticut,09
147691,67533,80158,Delaware,10
248265,109304,138961,District of Columbia,11
2313781,1086015,1227766,Florida,12
2250482,1023592,1226890,Georgia,13
22656,14938,7718,Hawaii,15
6785,4315,2470,Idaho,16
1363367,622718,740649,Illinois,17
428401,200326,228075,Indiana,18
65197,35021,30176,Iowa,19
122041,62975,59066,Kansas,20
257603,126393,131210,Kentucky,21
1068025,493431,574594,Louisiana,22
9681,5984,3697,Maine,23
1322065,597147,724918,Maryland,24
353285,166716,186569,Massachusetts,25
1018279,469982,548297,Michigan,26
197381,100739,96642,Minnesota,27
799194,364555,434639,Mississippi,28
507457,233330,274127,Missouri,29
3496,2477,1019,Montana,30
60181,30496,29685,Nebraska,31
174231,86508,87723,Nevada,32
12556,7232,5324,New Hampshire,33
905599,415474,490125,New Jersey,34
32236,18759,13477,New Mexico,35
2338269,1051083,1287186,New York,36
1578941,717676,861265,North Carolina,37
8537,5481,3056,North Dakota,38
1028893,477897,550996,Ohio,39
203870,100807,103063,Oklahoma,40
53393,29418,23975,Oregon,41
1034399,486299,548100,Pennsylvania,42
48474,23726,24748,Rhode Island,44
976695,444615,532080,South Carolina,45
8514,5417,3097,South Dakota,46
796814,366717,430097,Tennessee,47
2299224,1090367,1208857,Texas,48
20514,11974,8540,Utah,49
4777,2666,2111,Vermont,50
1201393,563506,637887,Virginia,51
189109,104093,85016,Washington,53
48185,26484,21701,West Virginia,54
245457,117898,127559,Wisconsin,55
4685,2889,1796,Wyoming,56
243093,118156,124937,Puerto Rico,72
